#,Name,Symbol,MarketCap,Price,CirculatingSupply,Volume24h,%1h,%24h,%7d
92,PAY  TenX,PAY,410816574.0,3.93,104661310.0,33200800.0,3.35,2.41,3.67
93,VEE  BLOCKv,VEE,402286105.0,0.298184,1349120359.0,31327300.0,-3.56,81.17,338.12
94,STORM  Storm,STORM,393731188.0,0.16150799999999998,2437843249.0,8606530.0,0.79,-8.31,161.12
95,DGD  DigixDAO,DGD,385096000.0,192.55,2000000.0,16121400.0,1.77,7.77,25.49
96,LINK  ChainLink,LINK,380327500.0,1.09,350000000.0,16205300.0,2.35,3.67,94.53
97,ENJ  Enjin Coin,ENJ,364559665.0,0.482099,756192535.0,26418200.0,1.12,11.88,177.67
98,LEND  ETHLend,LEND,363952942.0,0.359315,1012907733.0,141324000.0,-3.09,43.86,106.28
99,TNB  Time New Bank,TNB,360218327.0,0.22406900000000002,1607622325.0,52694400.0,0.32,-2.61,139.91
100,GXS  GXShares,GXS,351429111.0,8.68,40510000.0,26980900.0,-2.84,-1.46,76.35
101,BNT  Bancor,BNT,330032332.0,8.09,40772871.0,13021700.0,0.24,9.21,62.96
102,RDN  Raiden Networ...,RDN,323107087.0,6.44,50148936.0,45242500.0,0.12,2.19,55.71
103,GAME  GameCredits,GAME,315162317.0,4.9,64355352.0,8783490.0,-1.52,0.2,23.07
104,ACT  Achain,ACT,308496000.0,1.03,300000000.0,29794300.0,0.17,24.2,187.43
105,VTC  Vertcoin,VTC,307788209.0,7.26,42375400.0,10789100.0,0.57,6.89,14.35
106,STORJ  Storj,STORJ,301233578.0,2.27,132532119.0,35778300.0,0.02,6.09,-4.08
107,SKY  Skycoin,SKY,298163954.0,43.01,6932337.0,1123480.0,-1.71,-0.19,-7.26
108,XBY  XTRABYTES,XBY,288628040.0,0.6712279999999999,430000000.0,2340690.0,3.3,-5.64,86.39
109,SMART  SmartCash,SMART,277967471.0,0.495867,560568602.0,1064470.0,2.69,18.15,30.01
110,CNX  Cryptonex,CNX,265575383.0,5.89,45052255.0,294237.0,2.88,12.85,40.13
111,MED  Medibloc,MED,262072026.0,0.08834700000000001,2966384100.0,15837300.0,0.09,43.22,111.46
112,BLOCK  Blocknet,BLOCK,261604714.0,52.74,4960140.0,853810.0,1.08,1.17,31.62
113,BAY  BitBay,BAY,260869054.0,0.258577,1008864106.0,12017400.0,-0.63,-2.08,56.53
114,DBC  DeepBrain Chain,DBC,260809200.0,0.289788,900000000.0,19524900.0,4.83,23.74,221.25
115,CND  Cindicator,CND,254785413.0,0.176203,1445976590.0,33060000.0,-2.1,-1.85,110.28
116,R  Revain,R,254509643.0,1.38,184450000.0,1452460.0,-0.47,1.32,68.99
117,DATA  Streamr DATAcoin,DATA,253555091.0,0.374442,677154514.0,33637100.0,6.81,33.8,107.45
118,NEBL  Neblio,NEBL,250873746.0,19.75,12700410.0,79503800.0,-7.64,112.56,161.54
119,NAV  NAV Coin,NAV,250399510.0,4.02,62268609.0,13195100.0,-0.36,11.2,32.87
120,SNM  SONM,SNM,241786050.0,0.672375,359600000.0,33935900.0,0.71,15.22,90.3
121,ITC  IoT Chain,ITC,236122547.0,6.21,38052306.0,63561000.0,0.07,-0.51,117.6
122,UKG  Unikoin Gold,UKG,233976517.0,1.74,134256304.0,58706400.0,-5.57,54.22,182.08
123,TRIG  Triggers,TRIG,233108003.0,7.26,32105578.0,27635000.0,-2.32,20.18,20.72
124,UBQ  Ubiq,UBQ,231925070.0,5.94,39061130.0,7726540.0,-0.59,11.42,9.46
125,CTR  Centra,CTR,231236040.0,3.4,68000000.0,18649000.0,1.31,-4.03,75.36
126,SNGLS  SingularDTV,SNGLS,229462800.0,0.382438,600000000.0,6741620.0,3.0,-1.31,73.66
127,EDG  Edgeless,EDG,224669779.0,2.74,82046276.0,11227700.0,-0.59,13.01,26.0
128,RCN  Ripio Credit ...,RCN,224634867.0,0.459345,489033009.0,39352400.0,1.21,11.57,25.19
129,MCO  Monaco,MCO,219935251.0,16.81,13085542.0,41325500.0,-0.19,1.46,14.68
130,DNT  district0x,DNT,219628800.0,0.366048,600000000.0,38840700.0,0.0,2.72,176.46
131,CMT  CyberMiles,CMT,218373500.0,0.504152,433150121.0,39416700.0,1.17,6.06,131.9
132,RPX  Red Pulse,RPX,215023649.0,0.39573800000000003,543348500.0,6989400.0,-0.44,-3.25,28.22
133,AST  AirSwap,AST,211723500.0,1.41,150000000.0,40634300.0,2.52,11.49,201.73
134,ADX  AdEx,ADX,208451940.0,3.46,60248315.0,35944600.0,-1.45,27.69,39.33
135,COB  Cobinhood,COB,207037697.0,0.601685,344096491.0,436372.0,-0.35,16.72,259.28
136,AMB  Ambrosus,AMB,205071934.0,1.42,144590975.0,41891200.0,-2.0,9.96,155.34
137,ANT  Aragon,ANT,203331933.0,6.3,32252180.0,1621900.0,0.28,10.89,78.5
138,MANA  Decentraland,MANA,199523066.0,0.193864,1029190905.0,64799100.0,-0.43,7.66,99.57
139,PLR  Pillar,PLR,199177033.0,0.8759469999999999,227384800.0,746728.0,3.02,26.55,168.63
140,BRD  Bread,BRD,196501787.0,3.29,59805880.0,44033900.0,2.5,14.69,109.63
141,EMC2  Einsteinium,EMC2,193712954.0,0.895716,216266042.0,9567280.0,-0.24,-1.38,22.34
142,RLC  iExec RLC,RLC,193374741.0,2.45,79070793.0,1536530.0,-0.3,-0.88,97.49
143,ETP  Metaverse ETP,ETP,190606169.0,5.16,36930949.0,14984600.0,-0.22,3.28,96.66
144,BURST  Burst,BURST,190493956.0,0.10580999999999999,1800339818.0,41547700.0,-0.59,7.09,129.03
